station,value,pollutant,timestamp,state,city,latitude,longitude,aqi
"Jayanagar 5th Block, Bengaluru - KSPCB",13.0,PM10,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,13.0
"Jayanagar 5th Block, Bengaluru - KSPCB",1.0,NH3,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,1.0
"Hombegowda Nagar, Bengaluru - KSPCB",18.0,PM10,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,18.0
"Hombegowda Nagar, Bengaluru - KSPCB",1.0,SO2,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,1.0
"Bapuji Nagar, Bengaluru - KSPCB",4.0,NH3,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,4.0
"Bapuji Nagar, Bengaluru - KSPCB",12.0,CO,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,12.0
"BTM Layout, Bengaluru - CPCB",24.0,OZONE,29-06-2026 02:00:00,Karnataka,Bengaluru,12.9716,77.5946,24.0
"Ghatkopar, Mumbai - BMC",16.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,16.0
"Ghatkopar, Mumbai - BMC",0.0,SO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,0.0
"Ghatkopar, Mumbai - BMC",22.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,22.0
"Kurla, Mumbai - MPCB",6.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,6.0
"Mindspace-Malad West, Mumbai - MPCB",26.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,26.0
"Mindspace-Malad West, Mumbai - MPCB",13.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,13.0
"Mindspace-Malad West, Mumbai - MPCB",38.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,38.0
"Deonar, Mumbai - IITM",4.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,4.0
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",7.0,SO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,7.0
"Sion, Mumbai - MPCB",17.0,CO,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,17.0
"Mazgaon, Mumbai - IITM",6.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,6.0
"Mazgaon, Mumbai - IITM",3.0,SO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,3.0
"Mazgaon, Mumbai - IITM",1.0,CO,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,1.0
"Mazgaon, Mumbai - IITM",29.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,29.0
"Worli, Mumbai - MPCB",10.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,10.0
"Worli, Mumbai - MPCB",3.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,3.0
"Worli, Mumbai - MPCB",8.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,8.0
"Navy Nagar-Colaba, Mumbai - IITM",4.0,NH3,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,4.0
"Mulund West, Mumbai - MPCB",14.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,14.0
"Kherwadi_Bandra East, Mumbai - MPCB",7.0,PM2.5,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,7.0
"Byculla, Mumbai - BMC",8.0,NO2,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,8.0
"Byculla, Mumbai - BMC",10.0,OZONE,29-06-2026 02:00:00,Maharashtra,Mumbai,19.076,72.8777,10.0
"Mansarovar Sector-12, Jaipur - RSPCB",38.0,PM10,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,38.0
"Sector-2 Murlipura, Jaipur - RSPCB",14.0,NO2,29-06-2026 02:00:00,Rajasthan,Jaipur,26.9124,75.7873,14.0
