date,station,PM2.5,PM10,NO2,SO2,CO,O3,O3.1,month,dayofyear,PM2.5_sub_index,PM10_sub_index,NO2_sub_index,SO2_sub_index,CO_sub_index,O3_sub_index,AQI,AQI_category,latitude,longitude
2023-03-10,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,69,,,,,,,,Unknown,19.0544,72.8402
2023-03-11,Chennai_Alandur_2023-10-01_2023-11-30,76.44597222222222,117.573125,30.222951388888887,22.552916666666665,1.4646875,44.14961805555556,44.14961805555556,3,70,153.72935344827587,112.01167365771812,37.77868923611111,28.19114583333333,70.85520833333332,44.14961805555556,153.72935344827587,Moderate,13.0012,80.2014
2023-03-11,Delhi_AnandVihar_2023-10-01_2023-11-30,131.05208333333334,320.3854166666667,88.72708333333333,,2.020138888888889,18.5375,18.5375,3,70,308.7143895348837,270.3854166666667,108.72708333333333,,,18.5375,308.7143895348837,Very Poor,28.6476,77.3158
2023-03-11,Kolkata_Victoria_2023-10-01_2023-11-30,63.255208333333336,108.78229166666668,10.8371875,11.530659722222223,1.1610416666666667,52.24520833333333,52.24520833333333,3,70,108.69881465517244,106.17078439597316,13.546484375,14.41332465277778,54.32337962962963,52.24520833333333,108.69881465517244,Moderate,22.5448,88.3426
2023-03-11,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,70,,,,,,,,Unknown,19.0544,72.8402
2023-03-12,Chennai_Alandur_2023-10-01_2023-11-30,63.90673611111111,98.31586805555555,24.79784722222222,17.48888888888889,1.289201388888889,44.59461805555555,44.59461805555555,3,71,110.92299568965517,98.31586805555555,30.99730902777777,21.861111111111114,61.30096450617284,44.59461805555555,110.92299568965517,Moderate,13.0012,80.2014
2023-03-12,Delhi_AnandVihar_2023-10-01_2023-11-30,127.66666666666669,394.1145833333333,88.94479166666667,,2.08015873015873,24.245833333333334,24.245833333333334,3,71,306.1162790697675,355.029667721519,108.94479166666667,,,24.245833333333334,355.029667721519,Very Poor,28.6476,77.3158
2023-03-12,Kolkata_Victoria_2023-10-01_2023-11-30,85.51458333333333,129.5375,10.64048611111111,9.821979166666669,1.4037499999999998,54.567395833333336,54.567395833333336,3,71,184.68771551724137,119.9611577181208,13.300607638888888,12.277473958333337,67.5375,54.567395833333336,184.68771551724137,Moderate,22.5448,88.3426
2023-03-12,Mumbai_Bandra_2023-10-01_2023-11-30,,,,,,,,3,71,,,,,,,,Unknown,19.0544,72.8402
2023-03-13,Chennai_Alandur_2023-10-01_2023-11-30,58.590069444444445,90.13458333333334,27.004548611111108,17.317708333333332,1.4046527777777778,36.79708333333333,36.79708333333333,3,72,97.6177035440613,90.13458333333334,33.755685763888884,21.647135416666664,67.5866512345679,36.79708333333333,97.6177035440613,Satisfactory,13.0012,80.2014
